time,y_1,y_2,width,y
910,12.4357142857,11.7844444444,3,9.161
455,7.682,7.073333333300001,3,7.1042857142999996
1270,2.9339999999999997,2.972,2,2.25
905,10.056000000000001,9.112,2,11.345
1005,11.855,11.855,3,14.738
835,8.628,8.516,2,8.639
1255,6.149,5.755,3,5.723
765,6.6677777778,5.318,3,5.2166666667
335,9.618,7.678999999999999,2,8.211
1320,2.279,2.968,2,2.767
1160,7.138999999999999,4.923,2,5.377000000000001
605,7.061,6.938,2,6.3389999999999995
695,11.488,11.345,3,11.561
390,12.517000000000001,9.055,3,13.012
605,5.723,7.362,2,6.279
260,2.028,2.294,2,2.379
600,8.116,7.188,2,6.25
1295,3.6911111111,4.93875,3,4.511
1250,4.261,4.766,3,5.22375
1420,2.35,2.115,3,2.344
905,12.305,11.384,2,10.89
470,17.862000000000002,18.107,3,22.799
1175,6.612,6.015,3,4.901
430,14.538,13.356,3,13.26
115,0.5775,0.57,2,0.9022222222
35,0.75,0.915,3,0.7855555556
1095,11.960999999999999,11.960999999999999,3,11.645
1425,0.8220000000000001,1.2990000000000002,3,0.983
1000,14.612,14.923,2,12.4816666667
750,7.877000000000001,7.122000000000001,2,8.722999999999999
620,5.6055555556,5.28625,3,5.4811111111
190,0.24,0.39,3,0.3085714286
15,0.645,0.622,3,0.828
710,6.756,6.756,3,5.428
545,10.283,11.577,3,10.884
780,6.289,5.965,3,6.843
250,0.856,1.25,3,2.4819999999999998
450,6.2528571429,7.784444444400001,3,7.456
725,8.291,7.6555555555999995,2,7.834
1345,2.406,2.444,2,1.739
805,6.5188888889,7.961,3,7.362
100,0.1544444444,0.37799999999999995,2,0.5625
830,8.267999999999999,9.86,3,9.06125
880,9.812000000000001,11.115,2,12.817
375,10.828,7.627000000000001,2,9.955
595,5.305,5.355,3,7.22875
975,12.958,10.289000000000001,2,14.360999999999999
345,10.667,8.211,2,8.782
1195,5.806,5.544,3,6.257000000000001
600,7.362,6.682,2,5.723
1225,9.372,8.927,3,6.9
275,2.75125,1.8625,3,2.51625
330,5.7711111111,4.5071428571,3,5.7655555556
670,11.982000000000001,10.078,3,9.845
555,8.684,9.806000000000001,3,10.311
430,10.029,9.289,2,9.285
740,5.95,6.54875,3,7.676666666699999
935,16.288,14.577,3,13.822000000000001
985,13.614,13.270999999999999,2,14.140999999999998
630,7.172999999999999,6.695,2,7.541
580,4.6288888889,4.6288888889,3,5.417999999999999
35,0.6466666667000001,1.285,3,0.82
635,7.5889999999999995,5.056,2,6.382999999999999
1255,3.267,3.4622222222000003,3,5.1355555556
215,0.7440000000000001,0.222,3,0.9109999999999999
1255,5.22375,4.261,3,4.9388888889
435,14.355,11.555,3,12.805
